n,sparsity,max_nnz_row,time_serial,time_vectorized,speedup_time,cycles_serial,cycles_vector,speedup_cycles,pass
1024,0.0100,24,0.000115,0.000081,1.41,229105,162560,1.41,PASS
2048,0.0100,37,0.000363,0.000262,1.38,724247,523622,1.38,PASS
4096,0.0100,64,0.001388,0.001033,1.34,2773167,2063595,1.34,PASS
8192,0.0100,117,0.005496,0.004455,1.23,10989107,8906427,1.23,PASS
16384,0.0100,215,0.024104,0.021011,1.15,48202873,42018995,1.15,PASS
32768,0.0100,401,0.106842,0.099151,1.08,213679079,198296367,1.08,PASS
1024,0.0200,38,0.000171,0.000127,1.35,340523,252734,1.35,PASS
2048,0.0200,62,0.000607,0.000432,1.41,1212622,862841,1.41,PASS
4096,0.0200,113,0.002254,0.001791,1.26,4502789,3579377,1.26,PASS
8192,0.0200,213,0.009399,0.007788,1.21,18795027,15572124,1.21,PASS
16384,0.0200,399,0.040714,0.036290,1.12,81423410,72575399,1.12,PASS
32768,0.0200,756,0.177820,0.168503,1.06,355633849,337000357,1.06,PASS
1024,0.0500,72,0.000308,0.000246,1.26,613786,489770,1.25,PASS
2048,0.0500,134,0.001223,0.000953,1.28,2440833,1902363,1.28,PASS
4096,0.0500,257,0.004754,0.003929,1.21,9504146,7853756,1.21,PASS
8192,0.0500,489,0.020149,0.017201,1.17,40293957,34396917,1.17,PASS
16384,0.0500,926,0.082461,0.075650,1.09,164917171,151296289,1.09,PASS
32768,0.0500,1802,0.355516,0.340727,1.04,711026826,681447873,1.04,PASS
1024,0.1000,132,0.000539,0.000448,1.20,1075445,895217,1.20,PASS
2048,0.1000,255,0.002099,0.001742,1.21,4193788,3480298,1.21,PASS
4096,0.1000,472,0.008547,0.007091,1.21,17090163,14178474,1.21,PASS
8192,0.1000,917,0.034292,0.031279,1.10,68580762,62553744,1.10,PASS
16384,0.1000,1786,0.140216,0.132800,1.06,280427958,265596075,1.06,PASS
32768,0.1000,3493,0.620086,0.598275,1.04,1240164410,1196543095,1.04,PASS
1024,0.2000,249,0.000955,0.000826,1.16,1906020,1648530,1.16,PASS
2048,0.2000,481,0.003786,0.003395,1.12,7568000,6786281,1.12,PASS
4096,0.2000,912,0.015565,0.013458,1.16,31125169,26912245,1.16,PASS
8192,0.2000,1789,0.061527,0.056150,1.10,123050318,112295531,1.10,PASS
16384,0.2000,3480,0.247897,0.236084,1.05,495788921,472162154,1.05,PASS
32768,0.2000,6883,1.095717,1.096230,1.00,2191422761,2192449956,1.00,PASS
