n,sparsity,max_nnz_row,time_serial,time_vectorized,speedup_time,cycles_serial,cycles_vector,speedup_cycles,pass
1024,0.0100,24,0.000797,0.004988,0.16,1593741,9975414,0.16,PASS
2048,0.0100,37,0.002537,0.015000,0.17,5071978,29998571,0.17,PASS
4096,0.0100,64,0.009122,0.051713,0.18,18240934,103423489,0.18,PASS
8192,0.0100,117,0.033246,0.188354,0.18,66488002,376703158,0.18,PASS
16384,0.0100,215,0.143262,0.702924,0.20,286520020,1405841105,0.20,PASS
32768,0.0100,401,0.565749,2.666034,0.21,1131490979,5332053827,0.21,PASS
1024,0.0200,38,0.001344,0.007903,0.17,2686502,15804479,0.17,PASS
2048,0.0200,62,0.004656,0.024965,0.19,9309357,49927801,0.19,PASS
4096,0.0200,113,0.016929,0.091111,0.19,33853488,182217920,0.19,PASS
8192,0.0200,213,0.066540,0.342744,0.19,133072587,685482843,0.19,PASS
16384,0.0200,399,0.258890,1.297882,0.20,517774937,2595754910,0.20,PASS
32768,0.0200,756,1.095535,5.037295,0.22,2191061395,10074565772,0.22,PASS
1024,0.0500,72,0.002597,0.014464,0.18,5192217,28926394,0.18,PASS
2048,0.0500,134,0.009594,0.053735,0.18,19183971,107464222,0.18,PASS
4096,0.0500,257,0.039999,0.209142,0.19,79991390,418279510,0.19,PASS
8192,0.0500,489,0.152514,0.788973,0.19,305020840,1577939717,0.19,PASS
16384,0.0500,926,0.585179,3.022601,0.19,1170350383,6045185446,0.19,PASS
32768,0.0500,1802,2.428289,11.864512,0.20,4856563390,23728972470,0.20,PASS
1024,0.1000,132,0.004694,0.026445,0.18,9385324,52887001,0.18,PASS
2048,0.1000,255,0.019435,0.102095,0.19,38863152,204184951,0.19,PASS
4096,0.1000,472,0.073478,0.380131,0.19,146950008,760255035,0.19,PASS
8192,0.1000,917,0.289551,1.487082,0.19,579097137,2974154600,0.19,PASS
16384,0.1000,1786,1.159471,5.857187,0.20,2318933242,11714346204,0.20,PASS
32768,0.1000,3493,4.615654,23.004936,0.20,9231285101,46009773457,0.20,PASS
1024,0.2000,249,0.009371,0.049670,0.19,18738229,99336486,0.19,PASS
2048,0.2000,481,0.035594,0.192024,0.19,71182981,384043220,0.19,PASS
4096,0.2000,912,0.143982,0.735945,0.20,287958128,1471880874,0.20,PASS
8192,0.2000,1789,0.567803,2.872810,0.20,1135598359,5745603357,0.20,PASS
16384,0.2000,3480,2.234784,11.419207,0.20,4469553489,22838363160,0.20,PASS
32768,0.2000,6883,9.301781,45.046303,0.21,18603518265,90092414968,0.21,PASS
