n,sparsity,max_nnz_row,time_serial,time_vectorized,speedup_time,cycles_serial,cycles_vector,speedup_cycles,pass
1024,0.0100,24,0.000172,0.000115,1.50,4689625850209055539,4687071425281707213,1.50,PASS
2048,0.0100,37,0.000503,0.000337,1.49,4696870381141622784,4694020827536529818,1.49,PASS
4096,0.0100,64,0.001733,0.001281,1.35,4704690890596155392,4702746707292376269,1.35,PASS
8192,0.0100,117,0.006488,0.005125,1.27,4713225818629314970,4711762373538270413,1.27,PASS
16384,0.0100,215,0.024432,0.021367,1.14,4721826608804842701,4721003947212197069,1.14,PASS
32768,0.0100,401,0.109189,0.098187,1.11,4731603423870110925,4730865068314669875,1.11,PASS
1024,0.0200,38,0.000252,0.000185,1.36,4692376658221046170,4690079833406203494,1.36,PASS
2048,0.0200,62,0.000898,0.000579,1.55,4700453664196237722,4697713791600479437,1.55,PASS
4096,0.0200,113,0.002856,0.002128,1.34,4707887010158949171,4706323714326029926,1.34,PASS
8192,0.0200,213,0.010550,0.008533,1.24,4716428143050830643,4715345150269928243,1.24,PASS
16384,0.0200,399,0.044441,0.036901,1.20,4725736956108786893,4724724827879060275,1.20,PASS
32768,0.0200,756,0.179107,0.165384,1.08,4734789371571260621,4734328892422304563,1.08,PASS
1024,0.0500,72,0.000441,0.000318,1.38,4695794550245530010,4693691897466165658,1.39,PASS
2048,0.0500,134,0.001658,0.001132,1.47,4704369000191937741,4702106720228553523,1.47,PASS
4096,0.0500,257,0.005500,0.004393,1.25,4712164505689050317,4710975842297682330,1.25,PASS
8192,0.0500,489,0.020537,0.017544,1.17,4720781028745858253,4719977663810450227,1.17,PASS
16384,0.0500,926,0.083683,0.077826,1.08,4729891742916647322,4729498627982596506,1.08,PASS
32768,0.0500,1802,0.345090,0.334472,1.03,4739072747106205696,4738894659125982003,1.03,PASS
1024,0.1000,132,0.000744,0.000538,1.38,4699133985672921088,4697356872087240704,1.39,PASS
2048,0.1000,255,0.002511,0.001999,1.26,4707146107040301056,4705828582550457549,1.26,PASS
4096,0.1000,472,0.009001,0.007579,1.19,4715596516317934387,4714396964889192038,1.19,PASS
8192,0.1000,917,0.035082,0.031110,1.13,4724480790897465754,4723619099474028134,1.13,PASS
16384,0.1000,1786,0.136853,0.129346,1.06,4733371549097551462,4732956052382600397,1.06,PASS
32768,0.1000,3493,0.655475,0.633104,1.04,4743285304845559398,4743097636559939174,1.04,PASS
1024,0.2000,249,0.001163,0.000923,1.26,4702238078367327846,4700662632823547494,1.26,PASS
2048,0.2000,481,0.004319,0.003716,1.16,4710896928608695091,4709734100573041459,1.16,PASS
4096,0.2000,912,0.015801,0.013790,1.15,4719247394856343962,4718167521778624102,1.15,PASS
8192,0.2000,1789,0.059568,0.054949,1.08,4727767290087892582,4727147226545206067,1.08,PASS
16384,0.2000,3480,0.251655,0.242950,1.04,4737223650980973773,4736931554736367206,1.04,PASS
32768,0.2000,6883,1.032237,1.033980,1.00,4746445806268894413,4746460427568598221,1.00,PASS
