n,sparsity,max_nnz_row,time_serial,time_vectorized,speedup_time,cycles_serial,cycles_vector,speedup_cycles,pass
1024,0.0100,24,0.000172,0.000121,1.43,4689623553833207945,4687494575767630643,1.42,PASS
2048,0.0100,37,0.000504,0.000340,1.48,4696888562310849058,4694068093365291145,1.48,PASS
4096,0.0100,64,0.001680,0.001185,1.42,4704461958889271023,4702334139247956241,1.42,PASS
8192,0.0100,117,0.006243,0.004828,1.29,4712963070461634150,4711442776145509308,1.29,PASS
16384,0.0100,215,0.023869,0.021326,1.12,4721675477289830537,4720992841670520559,1.12,PASS
32768,0.0100,401,0.107812,0.099922,1.08,4731510980169555422,4730981515955500919,1.08,PASS
1024,0.0200,38,0.000257,0.000182,1.41,4692559430267996297,4689967589303552137,1.42,PASS
2048,0.0200,62,0.000816,0.000526,1.55,4699743610324438221,4697257557983633954,1.55,PASS
4096,0.0200,113,0.002832,0.002095,1.35,4707836693972831437,4706241861913044582,1.35,PASS
8192,0.0200,213,0.010377,0.008513,1.22,4716335458139766784,4715334009795851059,1.22,PASS
16384,0.0200,399,0.042312,0.035663,1.19,4725451224061155738,4724558752148374596,1.19,PASS
32768,0.0200,756,0.175618,0.158857,1.11,4734672298691683942,4734109876831335219,1.11,PASS
1024,0.0500,72,0.000450,0.000328,1.37,4695962652402183919,4693860643867913967,1.37,PASS
2048,0.0500,134,0.001576,0.001089,1.45,4704015888739869218,4701922172856871595,1.45,PASS
4096,0.0500,257,0.005421,0.004910,1.10,4712080546719876164,4711530846024735130,1.10,PASS
8192,0.0500,489,0.021126,0.016540,1.28,4720939201743430178,4719643901351585382,1.28,PASS
16384,0.0500,926,0.077214,0.069830,1.11,4729457635461361391,4728962065876508126,1.11,PASS
32768,0.0500,1802,0.369907,0.330004,1.12,4739489173207340373,4738819706935032764,1.12,PASS
1024,0.1000,132,0.000721,0.000527,1.37,4698929036276006912,4697263191549070541,1.37,PASS
2048,0.1000,255,0.002960,0.001906,1.55,4708110468789008247,4705429860836354731,1.55,PASS
4096,0.1000,472,0.009146,0.007521,1.22,4715674303508582673,4714334584766289237,1.22,PASS
8192,0.1000,917,0.032912,0.029020,1.13,4724102947269928550,4723058004597512602,1.13,PASS
16384,0.1000,1786,0.136751,0.127314,1.07,4733368130112323584,4732819751786722099,1.07,PASS
32768,0.1000,3493,0.592917,0.562166,1.05,4742760524717105698,4742502571350530458,1.05,PASS
1024,0.2000,249,0.001173,0.000919,1.28,4702286093882630690,4700626984165493965,1.28,PASS
2048,0.2000,481,0.004253,0.003419,1.24,4710825772453846494,4709096799331225873,1.24,PASS
4096,0.2000,912,0.016218,0.014453,1.12,4719471384004342579,4718523127371888503,1.12,PASS
8192,0.2000,1789,0.060429,0.052382,1.15,4727882762882995541,4726802709756667494,1.15,PASS
16384,0.2000,3480,0.242645,0.231121,1.05,4736921324366978526,4736534633630260702,1.05,PASS
32768,0.2000,6883,1.086767,1.033058,1.05,4746848620392393387,4746452691232471996,1.05,PASS
