n,sparsity,max_nnz_row,time_serial,time_vectorized,speedup_time,cycles_serial,cycles_vector,speedup_cycles,pass
1024,0.0100,24,0.000110,0.000080,1.37,218948,160397,1.37,PASS
2048,0.0100,37,0.000365,0.000278,1.31,729919,554777,1.32,PASS
4096,0.0100,64,0.001426,0.001065,1.34,2848921,2127290,1.34,PASS
8192,0.0100,117,0.005514,0.004429,1.25,11024099,8854300,1.25,PASS
16384,0.0100,215,0.023488,0.020272,1.16,46972246,40539837,1.16,PASS
32768,0.0100,401,0.104398,0.096749,1.08,208790767,193493292,1.08,PASS
1024,0.0200,38,0.000180,0.000128,1.40,358214,256085,1.40,PASS
2048,0.0200,62,0.000628,0.000465,1.35,1252853,928077,1.35,PASS
4096,0.0200,113,0.002257,0.001776,1.27,4508255,3548780,1.27,PASS
8192,0.0200,213,0.009422,0.007855,1.20,18839695,15705748,1.20,PASS
16384,0.0200,399,0.039432,0.035662,1.11,78860828,71320464,1.11,PASS
32768,0.0200,756,0.211013,0.162554,1.30,422020811,325103525,1.30,PASS
1024,0.0500,72,0.000315,0.000248,1.27,626915,492441,1.27,PASS
2048,0.0500,134,0.001218,0.000933,1.31,2432576,1861466,1.31,PASS
4096,0.0500,257,0.004650,0.003901,1.19,9296180,7799420,1.19,PASS
8192,0.0500,489,0.019797,0.016789,1.18,39591377,33573638,1.18,PASS
16384,0.0500,926,0.079721,0.073891,1.08,159438865,147778003,1.08,PASS
32768,0.0500,1802,0.342656,0.400645,0.86,685307306,801283280,0.86,PASS
1024,0.1000,132,0.000538,0.000433,1.24,1073517,862955,1.24,PASS
2048,0.1000,255,0.002122,0.001707,1.24,4239689,3410607,1.24,PASS
4096,0.1000,472,0.008356,0.006933,1.21,16707504,13862795,1.21,PASS
8192,0.1000,917,0.034403,0.030784,1.12,68803060,61564107,1.12,PASS
16384,0.1000,1786,0.135361,0.129856,1.04,270717948,259706770,1.04,PASS
32768,0.1000,3493,0.586220,0.574746,1.02,1172433064,1149484979,1.02,PASS
1024,0.2000,249,0.000949,0.000809,1.17,1895011,1614476,1.17,PASS
2048,0.2000,481,0.003746,0.003288,1.14,7487999,6572427,1.14,PASS
4096,0.2000,912,0.015218,0.013033,1.17,30430251,26063045,1.17,PASS
8192,0.2000,1789,0.059411,0.055312,1.07,118816112,110620735,1.07,PASS
16384,0.2000,3480,0.239468,0.235529,1.02,478930828,471052351,1.02,PASS
32768,0.2000,6883,1.063013,1.005831,1.06,2126017212,2011654370,1.06,PASS
