n,time_serial,time_vectorized,speedup_time,cycles_serial,cycles_vector,speedup_cycles,pass
1024,0.000002,0.000002,0.96,4137,4236,0.98,PASS
2048,0.000004,0.000004,1.00,7998,7932,1.01,PASS
4096,0.000009,0.000007,1.23,17043,13548,1.26,PASS
8192,0.000016,0.000014,1.14,31894,27962,1.14,PASS
16384,0.000030,0.000026,1.12,58269,51731,1.13,PASS
32768,0.000063,0.000057,1.10,125600,114041,1.10,PASS
65536,0.000175,0.000211,0.83,349070,419557,0.83,PASS
131072,0.000417,0.000354,1.18,832853,705066,1.18,PASS
262144,0.000736,0.000692,1.06,1470423,1380505,1.07,PASS
524288,0.001583,0.001604,0.99,3163453,3205442,0.99,PASS
1048576,0.003097,0.002777,1.12,6188917,5549503,1.12,PASS
