n,time_serial,time_vectorized,speedup_time,cycles_serial,cycles_vector,speedup_cycles,pass
1024,0.000006,0.000005,1.09,10720.90,9376.20,1.14,PASS
2048,0.000010,0.000015,0.68,19110.10,28172.30,0.68,PASS
4096,0.000021,0.000020,1.09,42109.50,37825.70,1.11,PASS
8192,0.000038,0.000037,1.03,74325.80,71872.20,1.03,PASS
16384,0.000075,0.000072,1.05,149284.50,142895.20,1.04,PASS
32768,0.000142,0.000141,1.01,282937.40,279936.90,1.01,PASS
65536,0.000280,0.000270,1.04,557352.40,538545.00,1.03,PASS
131072,0.000505,0.000503,1.00,1006346.20,1002331.40,1.00,PASS
262144,0.000971,0.000941,1.03,1936179.40,1877334.20,1.03,PASS
524288,0.001762,0.001810,0.97,3519285.50,3613822.20,0.97,PASS
1048576,0.003447,0.003624,0.95,6888917.90,7242317.90,0.95,PASS
