n,time_serial,time_vectorized,speedup_time,cycles_serial,cycles_vector,speedup_cycles,pass
1024,0.000005,0.000005,1.12,10084.53,8848.97,1.14,PASS
2048,0.000009,0.000010,0.88,17253.53,19156.23,0.90,PASS
4096,0.000019,0.000019,0.98,37137.13,37629.47,0.99,PASS
8192,0.000036,0.000039,0.92,70979.20,76931.80,0.92,PASS
16384,0.000086,0.000068,1.26,171479.03,135684.97,1.26,PASS
32768,0.000156,0.000142,1.10,311088.80,283431.13,1.10,PASS
65536,0.000307,0.000268,1.15,612445.47,533072.13,1.15,PASS
131072,0.000557,0.000500,1.11,1110740.67,997691.00,1.11,PASS
262144,0.001038,0.000929,1.12,2070493.90,1854257.93,1.12,PASS
524288,0.001843,0.001822,1.01,3680445.67,3639117.80,1.01,PASS
1048576,0.003419,0.003580,0.95,6832439.77,7155507.53,0.95,PASS
