n,time_serial,time_vectorized,speedup_time,cycles_serial,cycles_vector,speedup_cycles,pass
1024,0.000005,0.000006,0.81,8949.23,10623.23,0.84,PASS
2048,0.000010,0.000012,0.79,18379.73,22861.43,0.80,PASS
4096,0.000019,0.000018,1.06,37732.43,35487.80,1.06,PASS
8192,0.000035,0.000036,0.97,69427.10,71646.87,0.97,PASS
16384,0.000087,0.000070,1.23,171793.10,138786.33,1.24,PASS
32768,0.000160,0.000139,1.15,318382.27,277014.20,1.15,PASS
65536,0.000305,0.000272,1.12,607362.17,542029.43,1.12,PASS
131072,0.000569,0.000508,1.12,1135778.97,1013071.60,1.12,PASS
262144,0.001059,0.000936,1.13,2113376.77,1866497.07,1.13,PASS
524288,0.001914,0.001822,1.05,3824259.47,3638616.87,1.05,PASS
1048576,0.003654,0.003622,1.01,7301996.53,7238916.00,1.01,PASS
