n,time_serial,time_vectorized,speedup_time,cycles_serial,cycles_vector,speedup_cycles,pass
1024,0.000003,0.000002,1.29,4874,3854,1.26,PASS
2048,0.000004,0.000004,0.98,7477,7271,1.03,PASS
4096,0.000008,0.000007,1.07,14743,13577,1.09,PASS
8192,0.000016,0.000014,1.20,32044,26630,1.20,PASS
16384,0.000032,0.000027,1.17,62868,53457,1.18,PASS
32768,0.000072,0.000054,1.34,143283,106868,1.34,PASS
65536,0.000130,0.000121,1.07,258120,241599,1.07,PASS
131072,0.000327,0.000345,0.95,652774,688685,0.95,PASS
262144,0.000703,0.000694,1.01,1403544,1385597,1.01,PASS
524288,0.001454,0.001385,1.05,2903737,2766328,1.05,PASS
1048576,0.003051,0.002821,1.08,6096781,5637230,1.08,PASS
